ticker, instrument code, market code, date from, date to
SPFB.SI-9.16,420658,17,13.06.2016,12.09.2016
SPFB.SI-3.16,399541,17,13.12.2015,10.03.2016
SPFB.SI-12.15,399540,17,13.09.2015,12.12.2015
SPFB.SI-9.15,74337,17,13.06.2015,12.09.2015
SPFB.SI-6.15,386066,17,13.03.2015,12.06.2015
SPFB.SI-3.15,383964,17,13.12.2014,12.03.2015
SPFB.SI-9.14,83219,17,13.06.2014,12.09.2014
SPFB.SI-12.14,181843,17,13.09.2014,12.12.2014
SPFB.SI-6.14,82736,17,13.03.2014,12.06.2014
SPFB.SI-3.14,82737,17,13.12.2013,12.03.2014
SPFB.SI-12.13,82738,17,13.09.2013,12.12.2013
SPFB.SI-9.13,82688,17,13.06.2013,12.09.2013
SPFB.SI-6.13,82361,17,13.03.2013,12.06.2013
SPFB.SI-3.13,81960,17,13.12.2012,12.03.2013
SPFB.SI-12.12,75008,17,13.09.2012,12.12.2012
SPFB.SI-9.12,80966,17,13.06.2012,12.09.2012
SPFB.SI-6.12,80372,17,13.03.2012,12.06.2012
SPFB.SI-3.12,74650,17,13.12.2011,12.03.2012
SPFB.SI-12.11,74388,17,13.09.2011,12.12.2011
SPFB.SI-9.11,36262,17,13.06.2011,12.09.2011
SPFB.SI-6.11,22718,17,13.03.2011,12.06.2011
SPFB.SI-3.11,22717,17,13.12.2010,12.03.2011
